Image,nfeatures,noctave,contthresh,edgethresh,sigma,good_matches,bad_matches,proportion_good_matches
Castle,100,3,0.04,10.0,1.9,43,57,0.43
Castle,100,4,0.04,10.0,1.9,39,64,0.3786407766990291
Castle,100,5,0.04,10.0,1.9,37,63,0.37
Castle,100,6,0.04,10.0,1.9,37,64,0.36633663366336633
Castle,80,3,0.06,10.0,1.9,38,42,0.475
Castle,100,3,0.06,10.0,1.9,43,57,0.43
Castle,150,3,0.06,10.0,1.9,72,78,0.48
Castle,200,3,0.06,10.0,1.9,114,86,0.57
Castle,200,3,0.04,10.0,1.9,114,86,0.57
Castle,200,3,0.06,10.0,1.9,114,86,0.57
Castle,200,3,0.08,10.0,1.9,114,86,0.57
Castle,200,3,0.1,10.0,1.9,113,87,0.565
Castle,200,3,0.06,5.0,1.9,103,97,0.515
Castle,200,3,0.06,10.0,1.9,114,86,0.57
Castle,200,3,0.06,15.0,1.9,118,82,0.59
Castle,200,3,0.06,20.0,1.9,110,90,0.55
Castle,200,3,0.06,15.0,1.7,86,114,0.43
Castle,200,3,0.06,15.0,1.9,118,82,0.59
Castle,200,3,0.06,15.0,2.1,102,99,0.5074626865671642
Castle,200,3,0.06,15.0,2.3,102,98,0.51
Castle,200,3,0.06,15.0,1.9,118,82,0.59